WKT;ID;CODIGO;NOMOFICIAL;ALT_IZQINI;ALT_IZQFIN;ALT_DERINI;ALT_DERFIN;NOMANTER;TIPO_C;LONG;OBSERVA;NOM_MAPA;SENTIDO;COD_SENT;BICISENDA;LADO_CICLO;RECORRID_X;CICLO_OBSE;TOOLTIP_BI
LINESTRING (-58.446596484470284 -34.59634340577125,-58.446066555281917 -34.596825323645369);8276;17003;PADILLA;1052;1100;1051;1099;;CALLE;72.26;corrección altura 13-1-03;PADILLA;DECRECIENTE;;;;;;
LINESTRING (-58.382263782375894 -34.596766635716122,-58.382663256125298 -34.59680316738482);8277;1062;ALVEAR, MARCELO T. De;1072;1100;1071;1099;CHARCAS;CALLE;36.87;;MARCELO T.DE ALVEAR;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.382663256125298 -34.59680316738482,-58.382986599333684 -34.596832746363461,-58.384174074834583 -34.596902392189179);8295;1062;ALVEAR, MARCELO T. De;1102;1200;1101;1199;CHARCAS;CALLE;139.05;;MARCELO T.DE ALVEAR;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.384174074834583 -34.596902392189179,-58.385441446802446 -34.596961724559243,-58.385649325976225 -34.596971433829893);8305;1062;ALVEAR, MARCELO T. De;1202;1300;1201;1299;CHARCAS;CALLE;135.55;;MARCELO T.DE ALVEAR;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.398869030027747 -34.597048715568974,-58.398521639927246 -34.595389102870378);8324;22012;URIBURU JOSE E., Pres.;1002;1100;1001;1099;ANDES;CALLE;186.84;;PRES.JOSE E. URIBURU;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.398869030027747 -34.597048715568974,-58.3990010495544 -34.597031178242055,-58.400157955179552 -34.596775780864192,-58.400285385687916 -34.596744084317557);8325;1062;ALVEAR, MARCELO T. De;2202;2300;2201;2299;CHARCAS;CALLE;134.32;;MARCELO T.DE ALVEAR;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.385649325976225 -34.596971433829893,-58.385804660524208 -34.596978715188271,-58.386922651400717 -34.597042022615597,-58.387062822959166 -34.597053518470346);8330;1062;ALVEAR, MARCELO T. De;1302;1400;1301;1399;CHARCAS;CALLE;129.99;;MARCELO T.DE ALVEAR;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.435326779818439 -34.596162798037021,-58.434442879441661 -34.597108126257083);8341;12145;LOYOLA;402;500;401;499;;CALLE;132.56;corrección altura 9-1-03;LOYOLA;DECRECIENTE;;;;;;
LINESTRING (-58.387062822959166 -34.597053518470346,-58.387275890631081 -34.597070974963394,-58.388298086252171 -34.597119280389101);8344;1062;ALVEAR, MARCELO T. De;1402;1500;1401;1499;CHARCAS;CALLE;113.56;;MARCELO T.DE ALVEAR;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.446066555281917 -34.596825323645369,-58.445650277891858 -34.597196477786952);8353;17003;PADILLA;1002;1050;1001;1049;;CALLE;56.16;corrección altura 13-1-03;PADILLA;DECRECIENTE;;;;;;
LINESTRING (-58.388298086252171 -34.597119280389101,-58.388426169489776 -34.597125344562684,-58.389646187574705 -34.597194252691288,-58.389782876729122 -34.597195742951605);8358;1062;ALVEAR, MARCELO T. De;1502;1600;1501;1599;CHARCAS;CALLE;136.49;;MARCELO T.DE ALVEAR;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.389948972586872 -34.595801422022049,-58.389925961143796 -34.596016416628025,-58.389808560325768 -34.597042372104546,-58.389782876729122 -34.597195742951605);8359;13118;MONTEVIDEO;1002;1100;1001;1099;;CALLE;155.44;;MONTEVIDEO;DECRECIENTE;;;;;;
LINESTRING (-58.442590402798821 -34.596351753737764,-58.441652180761196 -34.597222403995382);8361;3174;CORRIENTES AV.;5502;5600;5501;5599;TRIUNVIRATO (parcial);AVENIDA;129.37;;AV. CORRIENTES;DECRECIENTE;;;;;;
LINESTRING (-58.389782876729122 -34.597195742951605,-58.39134326234749 -34.597213004043496);8362;1062;ALVEAR, MARCELO T. De;1602;1680;1601;1679;CHARCAS;CALLE;143.15;;MARCELO T.DE ALVEAR;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.397551388497774 -34.597221758308208,-58.397670120030348 -34.59720773658956,-58.398869030027747 -34.597048715568974);8365;1062;ALVEAR, MARCELO T. De;2102;2200;2101;2199;CHARCAS;CALLE;122.39;;MARCELO T.DE ALVEAR;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.39134326234749 -34.597213004043496,-58.391624901711772 -34.597216126271562,-58.39180630156747 -34.597219048804185);8366;1062;ALVEAR, MARCELO T. De;1682;1700;1681;1699;CHARCAS;CALLE;42.48;;MARCELO T.DE ALVEAR;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.443685075095665 -34.597243654011145,-58.442590402798821 -34.596351753737764);8368;20090;SERRANO;402;500;401;499;;CALLE;140.97;;SERRANO;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.404582679258269 -34.59607392706183,-58.404638551794761 -34.596189451097715,-58.405177689565065 -34.597232774972561);8370;5001;ECUADOR;1102;1200;1101;1199;;CALLE;139.67;;ECUADOR;DECRECIENTE;;;;;;
