WKT;ID;CODIGO;NOMOFICIAL;ALT_IZQINI;ALT_IZQFIN;ALT_DERINI;ALT_DERFIN;NOMANTER;TIPO_C;LONG;OBSERVA;NOM_MAPA;SENTIDO;COD_SENT;BICISENDA;LADO_CICLO;RECORRID_X;CICLO_OBSE;TOOLTIP_BI
LINESTRING (-58.405432935629086 -34.626995873283875,-58.403941491853701 -34.626761775798862);16353;3159;CONSTITUCION;2802;2900;2801;2899;;CALLE;139.21;;CONSTITUCION;DECRECIENTE;;;;;;
LINESTRING (-58.405601273091641 -34.625766121848145,-58.405432935629086 -34.626995873283875);16354;4014;DEAN FUNES;1302;1400;1301;1399;;CALLE;137.29;;DEAN FUNES;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.422842127304484 -34.626426376291654,-58.422785538033963 -34.626645238448425,-58.422677887069185 -34.627102260900223);16382;21045;TREINTA Y TRES ORIENTALES;1002;1050;1001;1049;TREINTA Y TRES;CALLE;76.48;corrección numeración 17-1;TREINTA Y TRES ORIENTALES;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.361417275227495 -34.627138258802404,-58.361599313631757 -34.62701868751666,-58.362140741155784 -34.626658982199636);16406;3242;CABOTO;202;300;201;299;GABOTO;CALLE;85.02;;CABOTO;DECRECIENTE;;;;;;
LINESTRING (-58.406755121064187 -34.627203324825246,-58.405432935629086 -34.626995873283875);16422;3159;CONSTITUCION;2902;3000;2901;2999;;CALLE;123.41;;CONSTITUCION;DECRECIENTE;;;;;;
LINESTRING (-58.407693163518758 -34.627281077997928,-58.406755121064187 -34.627203324825246);16446;3159;CONSTITUCION;3002;3046;3001;3045;;CALLE;86.45;;CONSTITUCION;DECRECIENTE;;;;;;
LINESTRING (-58.408585636504569 -34.627345352591263,-58.407693163518758 -34.627281077997928);16463;3159;CONSTITUCION;3048;3100;3047;3099;;CALLE;82.15;;CONSTITUCION;DECRECIENTE;;;;;;
LINESTRING (-58.365226693028703 -34.626876142276593,-58.365666112054242 -34.627332705039606);16468;17094;PI Y MARGALL;602;700;601;699;DULCE;CALLE;64.72;;PI Y MARGALL;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.429633843617097 -34.62741287642676,-58.429918469034973 -34.626152206294336);16473;4079;DOBLAS;802;900;801;899;TORINO;CALLE;142.27;correción numeración 16-1;DOBLAS;DECRECIENTE;;;;;;
LINESTRING (-58.409482881640486 -34.627409974861322,-58.408585636504569 -34.627345352591263);16476;3159;CONSTITUCION;3102;3150;3101;3149;;CALLE;82.59;;CONSTITUCION;DECRECIENTE;;;;;;
LINESTRING (-58.410092348060971 -34.627453832257416,-58.409482881640486 -34.627409974861322);16491;3159;CONSTITUCION;3152;3200;3151;3199;;CALLE;56.10;;CONSTITUCION;DECRECIENTE;;;;;;
LINESTRING (-58.392159452953692 -34.627263576524747,-58.393206102610634 -34.62744939480595);16494;7026;GARAY, JUAN DE AV.;1902;2000;1901;1999;GARAY - BRASIL;AVENIDA;98.17;;AV. JUAN DE GARAY;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.447032105489249 -34.627474100432245,-58.447381737282335 -34.626623200504071,-58.447481801451161 -34.626378486401947);16499;17128;PUAN;302;400;301;399;;CALLE;128.35;;PUAN;DECRECIENTE;;;;;;
LINESTRING (-58.37849342939132 -34.627489000205522,-58.37860570563803 -34.627163644232638,-58.379009084608654 -34.626084589625322);16510;9019;IRIGOYEN, BERNARDO de;1502;1600;1501;1599;DEL BUEN ORDEN;CALLE;162.82;;BERNARDO DE IRIGOYEN;DECRECIENTE;;;;;;
LINESTRING (-58.411037984939426 -34.627521914770078,-58.410092348060971 -34.627453832257416);16511;3159;CONSTITUCION;3202;3250;3201;3249;;CALLE;87.04;;CONSTITUCION;DECRECIENTE;;;;;;
LINESTRING (-58.41193105944744 -34.627586235565673,-58.411037984939426 -34.627521914770078);16523;3159;CONSTITUCION;3252;3300;3251;3299;;CALLE;82.21;;CONSTITUCION;DECRECIENTE;;;;;;
LINESTRING (-58.393206102610634 -34.62744939480595,-58.394292878581851 -34.627642409953239);16553;7026;GARAY, JUAN DE AV.;2002;2100;2001;2099;GARAY - BRASIL;AVENIDA;101.93;;AV. JUAN DE GARAY;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.39442972570599 -34.626679989458424,-58.394292878581851 -34.627642409953239);16554;19035;RINCON;1502;1600;1501;1599;;CALLE;107.50;;RINCON;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.360679055202837 -34.627623082294875,-58.361417275227495 -34.627138258802404);16558;3242;CABOTO;302;400;301;399;GABOTO;CALLE;86.46;;CABOTO;DECRECIENTE;;;;;;
LINESTRING (-58.413347900917607 -34.627688721887409,-58.413192594537925 -34.627677038842101,-58.41193105944744 -34.627586235565673);16567;3159;CONSTITUCION;3302;3400;3301;3399;;CALLE;130.42;;CONSTITUCION;DECRECIENTE;;;;;;
LINESTRING (-58.413347900917607 -34.627688721887409,-58.413360248138019 -34.627555412532963,-58.413438302524746 -34.62666604785155);16568;12114;LINIERS VIRREY;1302;1400;1301;1399;LINIERS;CALLE;113.75;corrección numeración 17-1;VIRREY LINIERS;DECRECIENTE;;;;;;
LINESTRING (-58.422677887069185 -34.627102260900223,-58.422526951541016 -34.627743500539175);16582;21045;TREINTA Y TRES ORIENTALES;1052;1100;1051;1099;TREINTA Y TRES;CALLE;72.47;corrección numeración 17-1;TREINTA Y TRES ORIENTALES;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.379612362857614 -34.627780622316529,-58.37849342939132 -34.627489000205522);16595;2111;BRASIL;1002;1100;1001;1099;;CALLE;107.59;;BRASIL;DECRECIENTE;;;;;;
LINESTRING (-58.381432054687203 -34.627804172956054,-58.379612362857614 -34.627780622316529);16603;2111;BRASIL;1102;1150;1101;1149;;CALLE;166.89;;BRASIL;DECRECIENTE;;;;;;
LINESTRING (-58.394292878581851 -34.627642409953239,-58.39534550069434 -34.62782926959418);16608;7026;GARAY, JUAN DE AV.;2102;2200;2101;2199;GARAY - BRASIL;AVENIDA;98.73;;AV. JUAN DE GARAY;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.382164116263667 -34.627838603294798,-58.381792170386674 -34.627815046511202,-58.381432054687203 -34.627804172956054);16613;2111;BRASIL;1152;1180;1151;1179;;CALLE;67.25;;BRASIL;DECRECIENTE;;;;;;
LINESTRING (-58.382809458975551 -34.627861774916077,-58.382401459773078 -34.627853619422176,-58.382164116263667 -34.627838603294798);16620;2111;BRASIL;1182;1200;1181;1199;;CALLE;59.25;;BRASIL;DECRECIENTE;;;;;;
LINESTRING (-58.377262339113472 -34.626827347338462,-58.376604154049964 -34.627864172776306);16624;21004;TACUARI;1602;1700;1601;1699;;CALLE;129.89;;TACUARI;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.450972597472152 -34.626935440164289,-58.452870557941161 -34.627924655428856);16631;1033;ALBERDI, JUAN BAUTISTA AV.;1602;1700;1601;1699;PROVINCIAS UNIDAS;AVENIDA;205.75;;AV.JUAN BAUTISTA ALBERDI;CRECIENTE;1;Carriles Preferenciales;;;;Carril preferencial
LINESTRING (-58.405432935629086 -34.626995873283875,-58.405301755524938 -34.62795436501785);16646;4014;DEAN FUNES;1402;1500;1401;1499;;CALLE;107.01;;DEAN FUNES;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.39534550069434 -34.62782926959418,-58.396807016492083 -34.628087048315926);16676;7026;GARAY, JUAN DE AV.;2202;2300;2201;2299;GARAY - BRASIL;AVENIDA;137.04;;AV. JUAN DE GARAY;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.384328307028014 -34.628175024203209,-58.38415130154695 -34.628138993654218,-58.382809458975551 -34.627861774916077);16702;2111;BRASIL;1202;1300;1201;1299;;CALLE;143.55;;BRASIL;DECRECIENTE;;;;;;
LINESTRING (-58.359678377220483 -34.628280361663229,-58.360637083625022 -34.627651816075712);16749;3242;CABOTO;402;500;401;499;GABOTO;CALLE;112.21;;CABOTO;DECRECIENTE;;;;;;
LINESTRING (-58.385682623647064 -34.628425050097214,-58.38544776775251 -34.628389407438469,-58.384613151636316 -34.628232955293846,-58.384328307028014 -34.628175024203209);16778;2111;BRASIL;1302;1400;1301;1399;;CALLE;127.27;;BRASIL;DECRECIENTE;;;;;;
LINESTRING (-58.446570038411039 -34.628598937306045,-58.447032105489249 -34.627474100432245);16822;17128;PUAN;402;500;401;499;;CALLE;131.78;;PUAN;DECRECIENTE;;;;;;
LINESTRING (-58.387024529727142 -34.628652869412456,-58.38589677972508 -34.62845751015189,-58.385682623647064 -34.628425050097214);16842;2111;BRASIL;1402;1500;1401;1499;;CALLE;125.63;;BRASIL;DECRECIENTE;;;;;;
LINESTRING (-58.429324307773577 -34.628733752107443,-58.429374216753828 -34.628562774095158,-58.429633843617097 -34.62741287642676);16855;4079;DOBLAS;902;1000;901;999;TORINO;CALLE;149.28;correción numeración 16-1;DOBLAS;DECRECIENTE;;;;;;
LINESTRING (-58.413250919605893 -34.628740478497839,-58.413347900917607 -34.627688721887409);16861;12114;LINIERS VIRREY;1402;1500;1401;1499;LINIERS;CALLE;117.01;corrección numeración 17-1;VIRREY LINIERS;DECRECIENTE;;;;;;
LINESTRING (-58.446570038411039 -34.628598937306045,-58.447663007398262 -34.628763448666724,-58.447994672066898 -34.628819195200585);16870;2098;BONIFACIO, JOSE;1402;1500;1401;1499;CONVENCION;CALLE;132.91;corrección numeración 16-1;JOSE BONIFACIO;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.414550635071954 -34.628843607548887,-58.413250919605893 -34.628740478497839);16878;21013;TARIJA;3402;3500;3401;3499;;CALLE;119.73;;TARIJA;DECRECIENTE;;;;;;
LINESTRING (-58.422526951541016 -34.627743500539175,-58.422298836690103 -34.628712049317699,-58.422268951425828 -34.628848311591021);16883;21045;TREINTA Y TRES ORIENTALES;1102;1200;1101;1199;TREINTA Y TRES;CALLE;124.82;corrección numeración 17-1;TREINTA Y TRES ORIENTALES;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.388094785553648 -34.628838182758294,-58.387024529727142 -34.628652869412456);16888;2111;BRASIL;1502;1600;1501;1599;;CALLE;100.27;;BRASIL;DECRECIENTE;;;;;;
LINESTRING (-58.388295471817678 -34.627164657805636,-58.388094785553648 -34.628838182758294);16889;3122;CEVALLOS, Virrey;1602;1700;1601;1699;ZEBALLOS - CEVALLOS;CALLE;186.56;;VIRREY CEVALLOS;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.405301755524938 -34.62795436501785,-58.405177850653288 -34.628860041222538);16891;4014;DEAN FUNES;1502;1600;1501;1599;;CALLE;101.11;;DEAN FUNES;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.447994672066898 -34.628819195200585,-58.448807520754173 -34.628955773947283);16907;2098;BONIFACIO, JOSE;1502;1550;1501;1549;CONVENCION;CALLE;76.06;corrección numeración 16-1;JOSE BONIFACIO;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.415906155854394 -34.628951180940199,-58.414550635071954 -34.628843607548887);16909;21013;TARIJA;3502;3600;3501;3599;;CALLE;124.87;;TARIJA;DECRECIENTE;;;;;;
LINESTRING (-58.376604154049964 -34.627864172776306,-58.375619234825237 -34.62896752442834);16922;21004;TACUARI;1702;1800;1701;1799;;CALLE;152.11;;TACUARI;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.416861948774461 -34.629027039353822,-58.415906155854394 -34.628951180940199);16931;21013;TARIJA;3602;3700;3601;3699;;CALLE;88.05;;TARIJA;DECRECIENTE;;;;;;
LINESTRING (-58.389293164199124 -34.62904574772169,-58.388094785553648 -34.628838182758294);16939;2111;BRASIL;1602;1700;1601;1699;;CALLE;112.28;;BRASIL;DECRECIENTE;;;;;;
LINESTRING (-58.41805713782432 -34.629125302821997,-58.417880787301165 -34.629107843202164,-58.416861948774461 -34.629027039353822);16963;21013;TARIJA;3702;3800;3701;3799;;CALLE;110.14;;TARIJA;DECRECIENTE;;;;;;
LINESTRING (-58.390048244670062 -34.629176485830776,-58.389293164199124 -34.62904574772169);16983;2111;BRASIL;1702;1750;1701;1749;;CALLE;70.74;;BRASIL;DECRECIENTE;;;;;;
LINESTRING (-58.419496732163275 -34.629283291273339,-58.418337339343232 -34.629153082035977,-58.41805713782432 -34.629125302821997);17009;21013;TARIJA;3802;3900;3801;3899;;CALLE;133.17;;TARIJA;DECRECIENTE;;;;;;
LINESTRING (-58.370693021383801 -34.629189408455886,-58.372026539662428 -34.629269353326343);17011;22018;USPALLATA;402;500;401;499;;CALLE;122.60;;USPALLATA;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.390925313139334 -34.62932834814594,-58.390048244670062 -34.629176485830776);17034;2111;BRASIL;1752;1800;1751;1799;;CALLE;82.17;;BRASIL;DECRECIENTE;;;;;;
LINESTRING (-58.379612362857614 -34.627780622316529,-58.379044331855532 -34.62933345477358);17039;8021;HORNOS, Gral.;2;100;1;99;;CALLE;179.96;;GRAL. HORNOS;DOBLE;2;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.420756656983762 -34.629424721657735,-58.419496732163275 -34.629283291273339);17052;21013;TARIJA;3902;4000;3901;3999;;CALLE;116.59;;TARIJA;DECRECIENTE;;;;;;
LINESTRING (-58.372026539662428 -34.629269353326343,-58.371982056440871 -34.629434889108282);17058;2092;BOLIVAR;1802;1808;1789;1799;;CALLE;18.81;;BOLIVAR;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.370658180047961 -34.62949375843327,-58.370693021383801 -34.629189408455886);17088;4016;DEFENSA;1802;1852;1801;1851;;CALLE;33.91;;DEFENSA;DECRECIENTE;;;;;;
LINESTRING (-58.392159452953692 -34.627263576524747,-58.391722018557857 -34.629508609065212);17090;3150;COMBATE DE LOS POZOS;1602;1800;1601;1799;POZOS;CALLE;252.26;;COMBATE DE LOS POZOS;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.413178460625993 -34.629526390871156,-58.413250919605893 -34.628740478497839);17092;12114;LINIERS VIRREY;1502;1600;1501;1599;LINIERS;CALLE;87.44;corrección numeración 17-1;VIRREY LINIERS;DECRECIENTE;;;;;;
LINESTRING (-58.368716259276894 -34.629564251814159,-58.369444475918961 -34.628323149896886);17102;9015;IRALA;2;100;1;99;;CALLE;153.02;;IRALA;DECRECIENTE;;;;;;
LINESTRING (-58.42208886934899 -34.629669265150504,-58.421802288595714 -34.629613674586601,-58.420756656983762 -34.629424721657735);17118;21013;TARIJA;4002;4100;4001;4099;;CALLE;125.14;;TARIJA;DECRECIENTE;;;;;;
LINESTRING (-58.422268951425828 -34.628848311591021,-58.42208886934899 -34.629669265150504);17119;21045;TREINTA Y TRES ORIENTALES;1202;1300;1201;1299;TREINTA Y TRES;CALLE;92.56;corrección numeración 17-1;TREINTA Y TRES ORIENTALES;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.429016403190651 -34.629788632370548,-58.429324307773577 -34.628733752107443);17143;4079;DOBLAS;1002;1100;1001;1099;TORINO;CALLE;120.38;correción numeración 16-1;DOBLAS;DECRECIENTE;;;;;;
LINESTRING (-58.448807520754173 -34.628955773947283,-58.448345504141606 -34.629878990825219);17163;1011;ACHAVAL;402;500;401;499;MONTARCE;CALLE;110.83;;ACHAVAL;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.423381720880052 -34.629928218505484,-58.422312920529414 -34.629712791696967,-58.42208886934899 -34.629669265150504);17170;21013;TARIJA;4102;4200;4101;4199;;CALLE;121.98;;TARIJA;DECRECIENTE;;;;;;
LINESTRING (-58.375619234825237 -34.62896752442834,-58.374917468234983 -34.62976880851452,-58.374790028285616 -34.629914003220897);17173;21004;TACUARI;1802;1864;1801;1865;;CALLE;129.64;corrección numeración 21-1;TACUARI;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.388094785553648 -34.628838182758294,-58.387941389865553 -34.630117286246019);17234;3122;CEVALLOS, Virrey;1702;1800;1701;1799;ZEBALLOS - CEVALLOS;CALLE;142.59;;VIRREY CEVALLOS;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.448345504141606 -34.629878990825219,-58.448222260758484 -34.630143280864537);17236;1011;ACHAVAL;0;0;0;0;MONTARCE;CALLE;31.42;;ACHAVAL;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.360646011724711 -34.629282546221802,-58.361303849648856 -34.629963891911778,-58.361451652176918 -34.630118526809049);17247;2085;BLANES, JUAN MANUEL;202;300;201;299;PLANES, JUAN M. - TUNUYAN;CALLE;118.57;;JUAN MANUEL BLANES;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.424790013899852 -34.630212124491258,-58.423381720880052 -34.629928218505484);17260;21013;TARIJA;4202;4300;4201;4299;;CALLE;132.92;;TARIJA;DECRECIENTE;;;;;;
LINESTRING (-58.372774028613804 -34.630253530734265,-58.371982056440871 -34.629434889108282);17277;22018;USPALLATA;502;600;501;599;;CALLE;116.28;Asignación de Sentido único de Circulación Oeste a Este según Ley N° 4.310 publicada en el Boletín Oficial 4.023 del día 26/10/2012;USPALLATA;DECRECIENTE;;;;;;
LINESTRING (-58.40554960968759 -34.629296850273683,-58.405002187432991 -34.630192749144804,-58.404968320728884 -34.630377316712298);17306;4014;DEAN FUNES;1602;1700;1601;1679;;CALLE;132.05;;DEAN FUNES;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.379044331855532 -34.62933345477358,-58.378961376667867 -34.629560095503408,-58.378621254447722 -34.630498977057819);17312;8021;HORNOS, Gral.;102;180;101;179;;CALLE;134.99;;GRAL. HORNOS;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.374790028285616 -34.629914003220897,-58.374644930366429 -34.630079396978388,-58.374333354060965 -34.630404252785219);17328;21004;TACUARI;1866;1900;1867;1899;;CALLE;68.65;;TACUARI;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.425979714215593 -34.630451933046132,-58.424790013899852 -34.630212124491258);17337;21013;TARIJA;4302;4400;4301;4399;;CALLE;112.29;;TARIJA;DECRECIENTE;;;;;;
LINESTRING (-58.368716259276894 -34.629564251814159,-58.368386472989876 -34.630603327258484);17383;9015;IRALA;102;200;101;199;;CALLE;119.17;;IRALA;CRECIENTE;1;Ciclovías;Mano izquierda;Calle;;Ciclovía
LINESTRING (-58.427402288235122 -34.630653345620743,-58.425979714215593 -34.630451933046132);17386;5095;ESTRADA;2;100;1;99;TARIJA;CALLE;132.34;;ESTRADA;DECRECIENTE;;;;;;
LINESTRING (-58.448222260758484 -34.630143280864537,-58.44798216333372 -34.630662142672513);17388;1011;ACHAVAL;502;528;501;527;MONTARCE;CALLE;61.63;corrección numeración 16-1;ACHAVAL;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.413071535376609 -34.630673005285388,-58.413120492619065 -34.630154838965545,-58.413178460625993 -34.629526390871156);17395;12114;LINIERS VIRREY;1602;1700;1601;1699;LINIERS;CALLE;127.58;corrección numeración 17-1;VIRREY LINIERS;DECRECIENTE;;;;;;
LINESTRING (-58.391722018557857 -34.629508609065212,-58.391496617918705 -34.630665065313558);17397;3150;COMBATE DE LOS POZOS;1802;1900;1801;1899;POZOS;CALLE;129.94;;COMBATE DE LOS POZOS;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.404968320728884 -34.630377316712298,-58.404931203943846 -34.630579700217517,-58.404916481222521 -34.630678358485262);17402;4014;DEAN FUNES;1702;1720;1681;1699;;CALLE;33.74;;DEAN FUNES;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.428712242981653 -34.630835202579568,-58.427550526891423 -34.630673811643646,-58.427402288235122 -34.630653345620743);17439;5095;ESTRADA;102;200;101;199;TARIJA;CALLE;121.80;;ESTRADA;DECRECIENTE;;;;;;
LINESTRING (-58.428712242981653 -34.630835202579568,-58.428948320167486 -34.630021860772217,-58.429016403190651 -34.629788632370548);17440;4079;DOBLAS;1102;1200;1101;1199;TORINO;CALLE;119.40;correción numeración 16-1;DOBLAS;DECRECIENTE;;;;;;
LINESTRING (-58.42208886934899 -34.629669265150504,-58.421819379946946 -34.630897877998876);17462;21045;TREINTA Y TRES ORIENTALES;1302;1400;1301;1399;TREINTA Y TRES;CALLE;138.52;corrección numeración 17-1;TREINTA Y TRES ORIENTALES;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.373459378710599 -34.630962015121909,-58.372774028613804 -34.630253530734265);17482;22018;USPALLATA;602;700;601;699;;CALLE;100.63;;USPALLATA;DECRECIENTE;;;;;;
LINESTRING (-58.374333354060965 -34.630404252785219,-58.373459378710599 -34.630962015121909);17483;21004;TACUARI;1902;2000;1901;1999;;CALLE;101.25;corrección numeración 21-1;TACUARI;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.44798216333372 -34.630662142672513,-58.449044376652672 -34.630999953513005);17486;2081;BILBAO, FRANCISCO;1302;1400;1301;1399;MERLO;CALLE;104.36;;FRANCISCO BILBAO;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.430153746438677 -34.631031799437125,-58.42893800966992 -34.630866604350004,-58.428712242981653 -34.630835202579568);17495;5095;ESTRADA;202;300;201;299;TARIJA;CALLE;133.97;;ESTRADA;DECRECIENTE;;;;;;
LINESTRING (-58.361451652176918 -34.630118526809049,-58.361618770928246 -34.630293389463993,-58.362354069076972 -34.631047471993604);17513;2085;BLANES, JUAN MANUEL;302;400;301;399;PLANES, JUAN M. - TUNUYAN;CALLE;132.16;;JUAN MANUEL BLANES;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.430847832508348 -34.63113163386231,-58.430366989176093 -34.631064814991511,-58.430153746438677 -34.631031799437125);17533;5095;ESTRADA;302;350;301;349;TARIJA;CALLE;64.60;;ESTRADA;DECRECIENTE;;;;;;
LINESTRING (-58.431539363922816 -34.631232308782451,-58.43133063611036 -34.631198733040669,-58.430847832508348 -34.63113163386231);17548;5095;ESTRADA;352;400;351;399;TARIJA;CALLE;64.39;;ESTRADA;DECRECIENTE;;;;;;
LINESTRING (-58.413008614231508 -34.631318071460207,-58.413051986773958 -34.630879623900569,-58.413071535376609 -34.630673005285388);17574;12114;LINIERS VIRREY;1702;1750;1701;1749;LINIERS;CALLE;71.79;corrección numeración 17-1;VIRREY LINIERS;DECRECIENTE;;;;;;
LINESTRING (-58.449044376652672 -34.630999953513005,-58.45010353153485 -34.631336698396503);17575;2081;BILBAO, FRANCISCO;1402;1500;1401;1499;MERLO;CALLE;104.06;;FRANCISCO BILBAO;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.432200478500903 -34.631338465318528,-58.431539363922816 -34.631232308782451);17577;5095;ESTRADA;402;450;401;449;TARIJA;CALLE;61.75;;ESTRADA;DECRECIENTE;;;;;;
LINESTRING (-58.387941389865553 -34.630117286246019,-58.387927311460324 -34.630235168841608,-58.387826786053985 -34.631172814180324,-58.387804756473599 -34.631320974546568);17579;3122;CEVALLOS, Virrey;1802;1900;1801;1899;ZEBALLOS - CEVALLOS;CALLE;134.12;;VIRREY CEVALLOS;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.433020739972662 -34.631470291751022,-58.432412018471872 -34.631372462818781,-58.432200478500903 -34.631338465318528);17615;5095;ESTRADA;452;500;451;499;TARIJA;CALLE;76.62;;ESTRADA;DECRECIENTE;;;;;;
LINESTRING (-58.373459378710599 -34.630962015121909,-58.372607473715654 -34.631505772896411);17637;21004;TACUARI;2002;2100;2001;2099;;CALLE;98.70;corrección numeración 21-1;TACUARI;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.368386472989876 -34.630603327258484,-58.368095327623983 -34.631520385362386);17642;9015;IRALA;202;300;201;299;;CALLE;105.18;;IRALA;CRECIENTE;1;Ciclovías;Mano izquierda;Calle;;Ciclovía
LINESTRING (-58.43365936836129 -34.631567913493839,-58.433232365814384 -34.631504287848848,-58.433020739972662 -34.631470291751022);17647;5095;ESTRADA;502;600;501;613;TARIJA;CALLE;59.55;;ESTRADA;DECRECIENTE;;;;;;
LINESTRING (-58.428495614493819 -34.631581363953401,-58.428712242981653 -34.630835202579568);17653;4079;DOBLAS;1202;1300;1201;1299;TORINO;CALLE;85.12;correción numeración 16-1;DOBLAS;DECRECIENTE;;;;;;
LINESTRING (-58.44798216333372 -34.630662142672513,-58.447529403805021 -34.631646697376276);17666;1011;ACHAVAL;530;600;529;599;MONTARCE;CALLE;116.84;corrección numeración 16-1;ACHAVAL;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.45010353153485 -34.631336698396503,-58.451100671649705 -34.631653779644736);17672;2081;BILBAO, FRANCISCO;1502;1600;1501;1599;MERLO;CALLE;97.97;;FRANCISCO BILBAO;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.404916481222521 -34.630678358485262,-58.404772162218194 -34.631645786795978);17677;4014;DEAN FUNES;1722;1800;1701;1799;;CALLE;108.13;;DEAN FUNES;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.391496617918705 -34.630665065313558,-58.391297653935538 -34.631686250265318);17692;3150;COMBATE DE LOS POZOS;1902;2000;1901;1999;POZOS;CALLE;114.74;;COMBATE DE LOS POZOS;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.391297653935538 -34.631686250265318,-58.391393228866576 -34.631709828077653);17697;18009;15 DE NOVIEMBRE DE 1889;0;0;0;0;ARMONIA;CALLE;9.15;;15 DE NOVIEMBRE DE 1889;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.434856461379233 -34.631746297128259,-58.43365936836129 -34.631567913493839);17706;5095;ESTRADA;602;700;615;699;TARIJA;CALLE;111.54;;ESTRADA;DECRECIENTE;;;;;;
LINESTRING (-58.451100671649705 -34.631653779644736,-58.451230000536441 -34.631694849573996,-58.451692705804525 -34.631842643582026);17734;2081;BILBAO, FRANCISCO;1602;1700;1601;1699;MERLO;CALLE;58.19;;FRANCISCO BILBAO;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.374284997240849 -34.631815461238602,-58.373459378710599 -34.630962015121909);17737;22018;USPALLATA;702;800;701;799;;CALLE;121.22;;USPALLATA;DECRECIENTE;;;;;;
LINESTRING (-58.436428681453513 -34.631980526877506,-58.434856461379233 -34.631746297128259);17760;5095;ESTRADA;702;800;701;799;TARIJA;CALLE;146.49;;ESTRADA;DECRECIENTE;;;;;;
LINESTRING (-58.421819379946946 -34.630897877998876,-58.421773951752115 -34.631105334434984,-58.421615044120543 -34.631988760941084);17767;21045;TREINTA Y TRES ORIENTALES;1402;1500;1401;1499;TREINTA Y TRES;CALLE;122.47;corrección numeración 17-1;TREINTA Y TRES ORIENTALES;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.412962870155269 -34.632017653378561,-58.412960012965868 -34.631808490386504,-58.413008614231508 -34.631318071460207);17779;12114;LINIERS VIRREY;1752;1800;1751;1799;LINIERS;CALLE;77.79;corrección numeración 17-1;VIRREY LINIERS;DECRECIENTE;;;;;;
